song_index,artist,song,danceability,energy,tempo,valence,loudness,track_id,track_genre
0,Wizkid;Tems,Essence (feat. Tems),0.849,0.707,104.027,0.602,-6.002,5FG7Tl93LdH117jEKYl3Cm,dancehall
1,Ledetraad,Atlas,0.414,0.136,85.905,0.406,-25.295,2UUoUzFXegRNIzIangETNG,piano
2,Kenny Larkin;Ben Klock,Glob - Ben Klock Remix 1,0.854,0.667,125.008,0.552,-12.485,2xeXLuW9d7i0QSdr7GDuQn,chicago-house
3,Lin-Manuel Miranda;Opetaia Foa'i,We Know The Way - Finale,0.495,0.839,101.08,0.122,-8.744,7qqnbgkCwchM2CZnATg4nX,show-tunes
4,Samuel Messias,Eu Não Perdi o Controle (Ao Vivo),0.516,0.51,123.648,0.332,-9.462,412DoidvZjwctMQeL5wK9D,brazil
5,Mc IG;Mc Kanhoto,Maloqueiro Visionário,0.708,0.475,119.758,0.679,-4.394,7rrYJ62gWbZmKQpazFR0k1,funk
6,Seiko Matsuda,Rock'n'roll Good-bye,0.718,0.911,136.93,0.872,-4.477,1vkpmgiYKoej9sA5y70KZd,j-idol
7,Keyakizaka46,月曜日の朝、スカートを切られた,0.503,0.847,103.996,0.571,-3.966,7cniw3LFJJfxv8WqyWVCFg,j-idol
8,Guaco,A Plena Vista,0.78,0.856,120.108,0.888,-6.371,5iYjiYfAKTsymuIRvKo1bv,salsa
9,Cyclo;Celia Dail,Mi Error Preferido,0.772,0.72,106.0,0.735,-4.653,7dmU4PLNBRzsxafczEOUcj,spanish
10,Dirt Monkey,High Grade,0.709,0.975,149.929,0.304,-1.587,5gQI9ccczclMrKfPnfxpkD,dubstep
11,Home,We're Finally Landing,0.481,0.546,180.047,0.072,-13.266,1aayZc3JciIs2GhZcSlCrw,chill
12,Kacey Musgraves;Willie Nelson,A Willie Nice Christmas,0.622,0.636,151.2,0.759,-7.397,7yYcd2Fqa4E9sjOLPhnwpc,country
13,Xenon;Shé,En Paz Conmigo,0.497,0.838,80.856,0.481,-7.763,2pfZcTMSnNAZiS9dyJGhI9,spanish
14,Ely Waves;Beautiful Beats,Left Me To Die,0.876,0.378,119.962,0.373,-14.653,5Z1KaSy7mMOThbYBBjaBR5,sad
15,Chris Janson,Who's Your Farmer,0.618,0.861,110.054,0.798,-3.692,0EWzVc9XR8UKRmjHfgqSmy,country
16,Dan Gibson's Solitudes,Cerulean Secrets,0.147,0.115,139.253,0.0829,-24.313,4iQ7Y0BhPhxJnetoVQOBXU,new-age
17,Mike Dunn,Acid Rush - Extended Vokal mixX,0.787,0.897,124.992,0.629,-10.278,7KkjTunfXrZoG93el4plID,chicago-house
18,Survive Said The Prophet,MUKANJYO (TV size),0.407,0.951,94.915,0.337,-4.068,16QDua4dBSorDXS9DrIAFR,j-rock
19,Håkan Hellström,Shelley (Live),0.432,0.912,127.281,0.184,-7.215,4d2piVOJXEYjbXfbRA8ECE,goth
20,Bullet For My Valentine,This Means War,0.478,0.899,104.166,0.373,-4.815,4f1Bxzgor1HNbdm2kGl8mL,metalcore
21,Lloyd Cole and the Commotions,Rattlesnakes,0.416,0.808,152.064,0.63,-11.45,6p7VouK8Crj5fMVJOkED8G,synth-pop
22,Nelson Ned,Júrame,0.293,0.41,74.672,0.308,-6.49,1MvRkOxMgbwRBvk6DTsHcU,rock-n-roll
23,KAS:ST;Anyma;Kevin de Vries,"Outomorrow - Anyma, Kevin de Vries Remix",0.679,0.82,125.992,0.166,-8.343,2VraIbWVrzPs2YwGzjNPE3,techno
24,B'z,愛しい人よGood Night…,0.448,0.671,88.014,0.279,-4.722,5zmWkyNHZWEemXYSRLl9ER,j-pop
25,Los Rude Boys,Soledad,0.535,0.897,108.619,0.822,-5.512,0Xgl1akojKjxJKWiXBbNvI,ska
26,Dan Cummins,Very Hungry Lion Island,0.535,0.678,65.594,0.515,-12.521,3qTe590n03EVXVLVsUZNgn,comedy
27,Mickie Krause;Oli Votti,"Biste braun, kriegste Fraun - Aprés Ski-Version",0.728,0.907,127.988,0.909,-4.788,649HDJGIsOZomtWOcTtAhC,party
28,División Minúscula,La Última Y Me Voy,0.458,0.946,157.035,0.519,-3.603,2Rv1rl5lhTfj3ZydOKNb5I,punk-rock
29,Os Travessos,Quando a Gente Ama,0.449,0.685,139.398,0.833,-10.742,4fAzkEt0BGFMlsMhu9bGwN,pagode
